CANDIDATE_ID,CANDIDATE_NAME,CANDIDATE_OFFICE,CANDIDATE_STATE,CANDIDATE_DISTRICT,COMMITTEE_ID,COMMITTEE_NAME,SB_IMAGE_NUM,PAYEE_NAME,PAYEE_STREET,PAYEE_CITY,PAYEE_STATE,DISBURSEMENT_DESCRIPTION,DISBURSEMENT_DATE,COMMUNICATION_DATE,PUBLIC_DISBURSEMENT_DATE,"REPORTED_DISBURSEMENT_AMOUNT",NUMBER_OF_CANDIDATES,"CALCULATED_CANDIDATE_SHARE"
S6AL00013,"SHELBY, RICHARD C",S,AL,00,C30002232,"CITIZENS FOR A SOUND GOVERNMENT",201602119008455237,"SANDLER-INNOCENZI INC.","705 PRINCE STREET",ALEXANDRIA,VA,"PRODUCTION AND MEDIA BUY FOR  TELEVISION DIGITAL AND BANNER ADVERTISEMENTS FOR FREEDOM'S FIGHT",02/10/2016,02/15/2016,02/10/2016,"$412,974.64",1,"$412,974.64"
P60006111,"CRUZ, RAFAEL EDWARD ""TED""",P,US,00,C30002364,"LONE STAR COMMITTEE",201602189008487467,"ELLIOTT CURSON ADVERTISING","1900 RITTENHOUSE SQUARE",PHILADELPHIA,PA,"RADIO COMMERICAL: REAGAN HAD THE IDEA.",02/18/2016,02/20/2016,02/20/2016,"$20,000.00",1,"$20,000.00"
P60006111,"CRUZ, RAFAEL EDWARD ""TED""",P,US,00,C30002364,"LONE STAR COMMITTEE",201602109008453644,"ELLIOTT CURSON ADVERTISING","1900 RITTENHOUSE SQUARE",PHILADELPHIA,PA,"RADIO COMMERICAL: GOLD",02/02/2016,02/03/2016,02/01/2016,"$4,636.19",1,"$4,636.19"
P60006111,"CRUZ, RAFAEL EDWARD ""TED""",P,US,00,C30002364,"LONE STAR COMMITTEE",201602109008453645,"ELLIOTT CURSON ADVERTISING","1900 RITTENHOUSE SQUARE",PHILADELPHIA,PA,"RADIO COMMERCIAL: GOLD",01/27/2016,02/01/2016,02/01/2016,"$38,400.00",1,"$38,400.00"
P60006111,"CRUZ, RAFAEL EDWARD ""TED""",P,US,00,C30002364,"LONE STAR COMMITTEE",201602179008473065,"ELLIOTT CURSON ADVERTISING","1900 RITTENHOUSE SQUARE",PHILADELPHIA,PA,"RADIO COMMERICAL: GOLD",02/11/2016,02/15/2016,02/15/2016,"$30,000.00",1,"$30,000.00"
P60006111,"CRUZ, RAFAEL EDWARD ""TED""",P,US,00,C30002364,"LONE STAR COMMITTEE",201602109008453644,"ELLIOTT CURSON ADVERTISING","1900 RITTENHOUSE SQUARE",PHILADELPHIA,PA,"RADIO COMMERCIAL: GOLD",01/28/2016,02/01/2016,02/01/2016,"$5,629.20",1,"$5,629.20"
,,,,,C30001978,"PATRIOTIC VETERANS, INC",201603099009685767,"ADVERTISING ASSOCIATES","PO BOX 656",SCURY,TX,"TRUMP DRAFT DEFERMENTS",03/09/2016,03/10/2016,03/10/2016,"$25,000.00",1,"$25,000.00"
